name,sets,reps,load,day,focus,volume
Incline bench press,3,10,140,Tuesday,"Chest, shoulders and triceps",4200
Flat bench press,3,8,175,Tuesday,"Chest, shoulders and triceps",4200
Chest fly,2,10,115,Tuesday,"Chest, shoulders and triceps",2300
Lat pulldown,3,10,175,Thursday,Back and biceps,5250
Bent-over row,3,10,130,Thursday,Back and biceps,3900
Single-arm row,3,10,140,Thursday,Back and biceps,4200
Cable pullover,2,10,120,Thursday,Back and biceps,2400
Incline bicep curl,3,10,120,Thursday,Back and biceps,3600
Hammer curl,3,10,120,Thursday,Back and biceps,3600
Forearm curl,2,10,120,Thursday,Back and biceps,2400
Squat,4,10,260,Saturday,Legs,10400
Leg extension,3,10,140,Saturday,Legs,4200
Leg curl,3,10,120,Saturday,Legs,3600
Calf raise,4,12,150,Saturday,Legs,7200
